stop_id,stop_name,stop_lat,stop_lon,stop_desc,zone_id,parent_station,wheelchair_boarding,platform_code
de:11000:900181002::3,Rummelsburger Str./Edisonstr. (Berlin),52.468026,13.513586,Tramsteig Edisonstraße vor Helmholtzstraße,5656 Rummelsburger Str./Edisonstr. (Berlin),de:11000:900181002,,
de:11000:900181002::4,Rummelsburger Str./Edisonstr. (Berlin),52.468085,13.513696,Tramsteig Edisonstraße ht. Zeppelinstraße,5656 Rummelsburger Str./Edisonstr. (Berlin),de:11000:900181002,,
de:11000:900181501::3,Volkspark Wuhlheide (Berlin),52.471080,13.517135,Tramsteig Treskowallee vor Rummelsburger Straße,5656 Volkspark Wuhlheide (Berlin),de:11000:900181501,,
de:11000:900181501::4,Volkspark Wuhlheide (Berlin),52.471068,13.517169,Tramsteig Treskowallee ht. An der Wuhlheide,5656 Volkspark Wuhlheide (Berlin),de:11000:900181501,,
de:11000:900181701::1,Wilhelminenhofstr./Edisonstr. (Berlin),52.461819,13.513750,Tramhalt Edisonstr. ht. Wilhelminenhofstr. Pos. 5,5656 Wilhelminenhofstr./Edisonstr. (Berlin),,,
de:11000:900181701::2,Wilhelminenhofstr./Edisonstr. (Berlin),52.461760,13.513927,Tram- u. Bushalt Edisonstr. vor Wilhelmhof. Pos. 4,5656 Wilhelminenhofstr./Edisonstr. (Berlin),,,
de:11000:900182001:1:50,S Hirschgarten (Berlin),52.457950,13.603123,S-Bahnsteig Gleis 1,5656 S Hirschgarten (Berlin),de:11000:900182001,,1
de:11000:900182001:1:51,S Hirschgarten (Berlin),52.457868,13.603123,S-Bahnsteig Gleis 2,5656 S Hirschgarten (Berlin),de:11000:900182001,,2
de:11000:900182002:1:51,S Friedrichshagen (Berlin),52.457329,13.623213,Bahnsteig Gleis 4,5656 S Friedrichshagen (Berlin),de:11000:900182002,,
de:11000:900183001:1:50,S Rahnsdorf (Berlin),52.451677,13.689947,Bahnsteig Gleis 1,5656 S Rahnsdorf (Berlin),de:11000:900183001,,1
de:11000:900183001:1:51,S Rahnsdorf (Berlin),52.451598,13.689921,Bahnsteig Gleis 2,5656 S Rahnsdorf (Berlin),de:11000:900183001,,2
de:11000:900183002:1:50,S Wilhelmshagen (Berlin),52.438536,13.722166,Bahnsteig Gleis 1,5656 S Wilhelmshagen (Berlin),de:11000:900183002,,1
de:11000:900183002:1:51,S Wilhelmshagen (Berlin),52.438589,13.722319,Bahnsteig Gleis 2,5656 S Wilhelmshagen (Berlin),de:11000:900183002,,2
de:11000:900186001:1:50,S Grünau (Berlin),52.412432,13.573957,S-Bahnsteig Gleis 1,5656 S Grünau (Berlin),de:11000:900186001,,1
de:11000:900186001:1:51,S Grünau (Berlin),52.412481,13.574059,S-Bahnsteig Gleis 2,5656 S Grünau (Berlin),de:11000:900186001,,2
de:11000:900186001:2:52,S Grünau (Berlin),52.412518,13.574189,S-Bahnsteig Gleis 3,5656 S Grünau (Berlin),de:11000:900186001,,3
de:11000:900186001:2:53,S Grünau (Berlin),52.412568,13.574282,S-Bahnsteig Gleis 4,5656 S Grünau (Berlin),de:11000:900186001,,4
de:11000:900190001:1:50,S Treptower Park (Berlin),52.493746,13.461502,S-Bahnsteig Gleis 1,5555 S Treptower Park (Berlin),de:11000:900190001,,1
de:11000:900190001:1:51,S Treptower Park (Berlin),52.493711,13.461615,S-Bahnsteig Gleis 3,5555 S Treptower Park (Berlin),de:11000:900190001,,3
de:11000:900190001:2:52,S Treptower Park (Berlin),52.493667,13.461736,S-Bahnsteig Gleis 2,5555 S Treptower Park (Berlin),de:11000:900190001,,2
de:11000:900190001:2:53,S Treptower Park (Berlin),52.493629,13.461846,S-Bahnsteig Gleis 4,5555 S Treptower Park (Berlin),de:11000:900190001,,4
de:11000:900191001:1:50,S Baumschulenweg (Berlin),52.467637,13.489731,S-Bahnsteig Gleis 4,5656 S Baumschulenweg (Berlin),de:11000:900191001,,4
de:11000:900191001:2:51,S Baumschulenweg (Berlin),52.467537,13.489686,S-Bahnsteig Gleis 5,5656 S Baumschulenweg (Berlin),de:11000:900191001,,5
de:11000:900191001:2:52,S Baumschulenweg (Berlin),52.467495,13.489615,S-Bahnsteig Gleis 3,5656 S Baumschulenweg (Berlin),de:11000:900191001,,3
de:11000:900191002:1:50,S Plänterwald (Berlin),52.478467,13.473270,S-Bahnsteig Gleis 3,5656 S Plänterwald (Berlin),de:11000:900191002,,3
de:11000:900191002:1:51,S Plänterwald (Berlin),52.478530,13.473390,S-Bahnsteig Gleis 4,5656 S Plänterwald (Berlin),de:11000:900191002,,4
